,tags,Job type,Experience level,Role,Industry,Company size,Company type
298,"['sql', 'azure', 'c#', 'asp.net']",Full-time,"Mid-Level, Senior",,"Architecture, Cloud Computing, Software Development / Engineering",51–200 people,Private
299,"['ios', 'objective-c', 'java', 'swift', 'angular']",Full-time,Senior,Mobile Developer,"Data & Analytics, Sports Data, Sports Technology",51–200 people,Private
300,['php'],Full-time,,,,,
301,"['android-studio', 'java', 'kotlin', 'android', 'git']",Full-time,Senior,Mobile Developer,"Automotive, Computer Graphics, Project Management",11–50 people,Private
302,"['sql', 'java']",Full-time,,,,,
303,"['reactjs', 'java', 'html']",Full-time,,,,,
304,"['ios', 'objective-c', 'swift']",Full-time,,Mobile Developer,,,
305,"['wordpress', 'css', 'php']",Full-time,,,,,
306,"['wordpress', 'mysql', 'php']",Full-time,,,,,
307,"['javascript', 'reactjs', 'redux', 'react-native']",Full-time,"Junior, Mid-Level","Frontend Developer, Full Stack Developer","Health Care, Insurance, Web Technology",1k–5k people,VC Funded
308,"['javascript', 'reactjs', 'ios']",Full-time,,Mobile Developer,,,
309,"['ios', 'objective-c', 'swift']",Full-time,,Mobile Developer,,,
310,"['php', 'python']",Full-time,,,,,
311,"['asp.net-mvc', 'model-view-controller', 'c#']",Full-time,,,,,
312,"['javascript', 'node.js', 'angularjs']",Full-time,,Mobile Developer,,,
313,"['amazon-web-services', 'reactjs', 'javascript']",Full-time,,,,,
314,"['javascript', 'php']",Full-time,,Full Stack Developer,,,
315,"['vba', 'identity', 'powershell']",Full-time,Senior,,"Logistics & Distribution, Retail",10k+ people,Private
316,"['linux', 'python', 'c', 'embedded-linux', 'c++']",Full-time,"Junior, Mid-Level, Senior",Embedded Developer,"Software Consulting, Software Development / Engineering",51–200 people,Private
317,"['mysql', 'php', 'ajax']",Full-time,,,,,
318,"['asp.net-mvc', 'android', 'asp.net']",Full-time,,Mobile Developer,,,
319,"['amazon-web-services', 'node.js', 'agile', 'cloud']",Full-time,"Senior, Lead, Manager",,"Automotive, Carsharing, E-Commerce",51–200 people,VC Funded
320,"['dataset', 'data-visualization', 'sql', 'database', 'snowflake-datawarehouse']",Full-time,Senior,"Backend Developer, Database Administrator","Health Care, Information Technology, Software Development / Engineering",201–500 people,Private
321,"['c#', 'sap', 'java', 'abap', 'c++']",Full-time,"Junior, Mid-Level, Senior",Backend Developer,"Agile Software Development, Computer Software, IT Consulting",501–1k people,Public
322,"['javascript', 'html5', 'html']",Full-time,,,,,
323,"['hibernate', 'maven', 'java', 'spring', 'spring-boot']",Full-time,"Junior, Mid-Level, Senior",Backend Developer,Digital Agency,201–500 people,Private
324,"['bash', 'php', 'python', 'mysql', 'sysadmin', 'network-security']",Full-time,Mid-Level,System Administrator,"Ad Tech, Mobile, Mobile Development",11–50 people,Private
325,"['ios', 'reactjs', 'android']",Full-time,,Mobile Developer,,,
326,['.net'],Full-time,,,,,
327,"['angularjs', 'reactjs', 'user-interface', 'user-experience', 'javascript']",Full-time,Senior,Frontend Developer,"Accounting, Consulting, Taxes",5k–10k people,Private
328,"['c#', 'python', 'java', 'oop', 'c++']",Full-time,"Junior, Mid-Level",Backend Developer,"Agile Software Development, Computer Software, CPQ (Configure,  Price,  Quote)",51–200 people,Private
329,"['java', 'docker', 'reactjs', 'node.js', 'javascript']",Full-time,Senior,"Backend Developer, Full Stack Developer","Health Care, Information Technology, Software Development / Engineering",201–500 people,Private
330,"['ios', 'java', 'swift']",Full-time,,Mobile Developer,,,
331,"['salesforce', 'salesforce-lightning']",Full-time,"Mid-Level, Senior",System Administrator,"Addiction Treatment, Digital Health, Education Technology",11–50 people,VC Funded
332,"['unix', 'python', 'amazon-web-services', 'salt-stack', 'amazon-ec2']",Full-time,"Mid-Level, Senior, Lead",DevOps,"Computer Software, Real Estate, Web Technology",51–200 people,VC Funded
333,"['unity3d', 'xamarin', 'c#']",Full-time,,Graphics/Game Developer,,,
334,"['c#', 'ruby', 'python', 'java', 'javascript']",Contract,"Mid-Level, Senior, Lead",,Software Development / Engineering,51–200 people,VC Funded
335,"['hpc', 'bigdata', 'linux', 'python', 'version-control']",Full-time,"Junior, Mid-Level, Senior",,"Academic Research, Astronomy, Information Services",201–500 people,Public
336,"['asp.net-web-api', 'c#', 'asp.net']",Full-time,,,,,
337,"['c#', 'ruby', 'python', 'java', 'javascript']",Contract,"Mid-Level, Senior, Lead",,Software Development / Engineering,51–200 people,VC Funded
338,"['project-management', 'java', 'angularjs']",Full-time,,"Frontend Developer, Product Manager",,,
339,"['javascript', 'laravel', 'php']",Full-time,,Full Stack Developer,,,
340,"['web-services', 'design', 'http']",Full-time,,,"Health Care, Information Technology",10k+ people,Private
341,"['machine-learning', 'sql', 'r']",Full-time,"Mid-Level, Senior",Data Scientist,"Market research, Web Technology",501–1k people,Private
